"Sample ID","Species","Data source","Biosample type","Tissue type","Biosample name"
"Sample_02_1174","Human","NCBI GEO/SRA","Tissue","Brain","GBM02"
"Sample_02_1175","Human","NCBI GEO/SRA","Tissue","Brain","GBM03"
"Sample_02_1176","Human","NCBI GEO/SRA","Tissue","Brain","GBM04"
"Sample_02_1177","Human","NCBI GEO/SRA","Tissue","Brain","GBM05"
"Sample_02_1178","Human","NCBI GEO/SRA","Tissue","Brain","GBM07"
"Sample_02_1179","Human","NCBI GEO/SRA","Tissue","Brain","GBM08"
"Sample_02_1180","Human","NCBI GEO/SRA","Tissue","Brain","GBM09"
"Sample_02_1181","Human","NCBI GEO/SRA","Tissue","Brain","GBM10"
"Sample_02_1182","Human","NCBI GEO/SRA","Tissue","Brain","GBM11"
"Sample_02_1183","Human","NCBI GEO/SRA","Tissue","Brain","GBM12"
"Sample_02_1184","Human","NCBI GEO/SRA","Tissue","Brain","GBM13"
"Sample_02_1185","Human","NCBI GEO/SRA","Tissue","Brain","GBM14"
"Sample_02_1186","Human","NCBI GEO/SRA","Tissue","Brain","GBM15"
"Sample_02_1187","Human","NCBI GEO/SRA","Tissue","Brain","GBM16"
"Sample_02_1188","Human","NCBI GEO/SRA","Tissue","Brain","GBM18"
"Sample_02_1189","Human","NCBI GEO/SRA","Tissue","Brain","GBM22"
"Sample_02_1190","Human","NCBI GEO/SRA","Tissue","Brain","GBM24"
"Sample_02_1191","Human","NCBI GEO/SRA","Tissue","Brain","GBM25"
"Sample_02_1192","Human","NCBI GEO/SRA","Tissue","Brain","GBM26"
"Sample_02_1193","Human","NCBI GEO/SRA","Tissue","Brain","GBM27"
"Sample_02_1194","Human","NCBI GEO/SRA","Tissue","Brain","GBM28"
"Sample_02_1195","Human","NCBI GEO/SRA","Tissue","Brain","GBM29"
"Sample_02_1196","Human","NCBI GEO/SRA","Tissue","Brain","GBM32"
"Sample_02_1197","Human","NCBI GEO/SRA","Tissue","Brain","GBM33"
"Sample_02_1198","Human","NCBI GEO/SRA","Tissue","Brain","GBM34"
"Sample_02_1199","Human","NCBI GEO/SRA","Tissue","Brain","GBM35"
"Sample_02_1200","Human","NCBI GEO/SRA","Tissue","Brain","GBM36"
"Sample_02_1201","Human","NCBI GEO/SRA","Tissue","Brain","GBM37"
"Sample_02_1202","Human","NCBI GEO/SRA","Tissue","Brain","GBM38"
"Sample_02_1203","Human","NCBI GEO/SRA","Tissue","Brain","NB1"
"Sample_02_1204","Human","NCBI GEO/SRA","Tissue","Brain","NB2"
"Sample_02_1205","Human","NCBI GEO/SRA","Tissue","Brain","NB3"
"Sample_02_1206","Human","NCBI GEO/SRA","Cell line","Brain","DBTRG"
"Sample_02_1207","Human","NCBI GEO/SRA","Cell line","Brain","NNI11"
"Sample_02_1208","Human","NCBI GEO/SRA","Cell line","Brain","U251"
"Sample_02_1209","Human","NCBI GEO/SRA","Cell line","Brain","U343"
"Sample_02_1210","Human","NCBI GEO/SRA","Tissue","Brain","GBM17"
"Sample_02_1211","Human","NCBI GEO/SRA","Tissue","Brain","GBM21"
"Sample_02_1212","Human","NCBI GEO/SRA","Tissue","Brain","GBM30"
"Sample_02_1213","Human","NCBI GEO/SRA","Tissue","Brain","GBM31"
"Sample_02_1214","Human","NCBI GEO/SRA","Cell line","Blood","Jurkat ZBTB1 KO_ZBTB1_expressing FLAG-ZBTB1"
"Sample_02_1215","Human","NCBI GEO/SRA","Cell line","Blood","Jurkat ZBTB1 KO_Asparagine deprivation"
"Sample_02_1216","Human","NCBI GEO/SRA","Cell line","Blood","Jurkat ZBTB1 KO"
"Sample_02_1217","Human","NCBI GEO/SRA","Cell line","Blood","Jurkat ZBTB1 KO_ZBTB1_expressing FLAG-ZBTB1_Asparagine deprivation"
"Sample_02_1218","Human","NCBI GEO/SRA","Cell line","Bone marrow","Daudi"
"Sample_02_1219","Human","NCBI GEO/SRA","Cell line","Bone marrow","H929"
"Sample_02_1220","Human","NCBI GEO/SRA","Cell line","Bone marrow","JJN3"
"Sample_02_1221","Human","NCBI GEO/SRA","Cell line","Bone marrow","KMS11"
"Sample_02_1222","Human","NCBI GEO/SRA","Cell line","Bone marrow","KMS12"
"Sample_02_1223","Human","NCBI GEO/SRA","Cell line","Bone marrow","KMS28BM"
"Sample_02_1224","Human","NCBI GEO/SRA","Primary cell","Bone marrow","normal plasma cell"
"Sample_02_1225","Human","NCBI GEO/SRA","Cell line","Bone marrow","RAJI"
"Sample_02_1226","Human","NCBI GEO/SRA","Cell line","Bone marrow","RPMI-8226"
"Sample_02_1227","Human","NCBI GEO/SRA","Cell line","Bone marrow","U266"
"Sample_02_1228","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231_2"
"Sample_02_1229","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue bone marrow","K562_Control"
"Sample_02_1230","Human","NCBI GEO/SRA","Cell line","Lung","PC9"
"Sample_02_1231","Human","NCBI GEO/SRA","Cell line","Lung","PC9_siMED13L-1"
"Sample_02_1232","Human","NCBI GEO/SRA","Cell line","Lung","PC9_siMED13L-2"
"Sample_02_1233","Human","NCBI GEO/SRA","Cell line","Lung","PC9_miR-4497 mimic"
"Sample_02_1234","Human","NCBI GEO/SRA","Cell line","Mammary gland","T47D_Full"
"Sample_02_1235","Human","NCBI GEO/SRA","Primary cell","Brain","Neuroblastoma PDX tumour cells"
"Sample_02_1236","Human","NCBI GEO/SRA","Cell line","Skin","MKL1_virus_positive"
"Sample_02_1237","Human","NCBI GEO/SRA","Cell line","Skin","MKL2_virus_positive"
"Sample_02_1238","Human","NCBI GEO/SRA","Cell line","Skin","MS1_virus_positive"
"Sample_02_1239","Human","NCBI GEO/SRA","Cell line","Skin","Waga_virus_positive"
"Sample_02_1240","Human","NCBI GEO/SRA","Cell line","Skin","MCC13_virus_negative"
"Sample_02_1241","Human","NCBI GEO/SRA","Cell line","Skin","MCC26_virus_negative"
"Sample_02_1242","Human","NCBI GEO/SRA","Cell line","Skin","UISO_virus_negative"
"Sample_02_1243","Human","NCBI GEO/SRA","Cell line","Brain","KCNR_Ethanol"
"Sample_02_1244","Human","NCBI GEO/SRA","Cell line","Brain","KCNR_ATRA"
"Sample_02_1245","Human","NCBI GEO/SRA","Cell line","Brain","LAN5_Ethanol"
"Sample_02_1246","Human","NCBI GEO/SRA","Cell line","Brain","LAN5_ATRA"
"Sample_02_1247","Human","NCBI GEO/SRA","Cell line","Colon","HCT116_IFN-beta_1h"
"Sample_02_1248","Human","NCBI GEO/SRA","Cell line","Bladder","RT4"
"Sample_02_1249","Human","NCBI GEO/SRA","Cell line","Bone marrow","RS4_11_DMSO_4h"
"Sample_02_1250","Human","NCBI GEO/SRA","Cell line","Bone marrow","RS4_11_AZD1775 _4h"
"Sample_02_1251","Human","NCBI GEO/SRA","Cell line","Bone marrow","RS4_11_AZD1775 _10h"
"Sample_02_1252","Human","NCBI GEO/SRA","Cell line","Bone marrow","RS4_11_DMSO_10h"
"Sample_02_1253","Human","NCBI GEO/SRA","Cell line","Mammary gland","CAMA1 ER+/FGFR1-amplified"
"Sample_02_1254","Human","NCBI GEO/SRA","Primary cell","Bladder","Bladder tumor Basal1"
"Sample_02_1255","Human","NCBI GEO/SRA","Primary cell","Bladder","Bladder tumor Luminal2"
"Sample_02_1256","Human","NCBI GEO/SRA","Primary cell","Pancreatic duct","pancreatic ductal epithelium cell"
"Sample_02_1257","Human","NCBI GEO/SRA","Primary cell","Pancreas","pancreatic cancer cells"
"Sample_02_1258","Human","NCBI GEO/SRA","Tissue","Liver","Pancreatic cancer cells derived from liver metastasis"
"Sample_02_1259","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-3504_G34W-repair_WT_4C7"
"Sample_02_1260","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-3504_G34W-repair_4F5"
"Sample_02_1261","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-3504_G34W_unedited"
"Sample_02_1262","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-3504_G34W"
"Sample_02_1263","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W unedited"
"Sample_02_1264","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W KO"
"Sample_02_1265","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W-repair_WT_D6"
"Sample_02_1266","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W-repair_WT_E3"
"Sample_02_1267","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W"
"Sample_02_1268","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W unedited_U3"
"Sample_02_1269","Human","NCBI GEO/SRA","Cell line","Bone","Im-GCT-4072_G34W-repair_WT_A4"
"Sample_02_1270","Human","NCBI GEO/SRA","Primary cell","Blood","CD4/CD8 T cells"
"Sample_02_1271","Human","NCBI GEO/SRA","Cell line","Leiomyosarcoma","SK-LMS-1_WT"
"Sample_02_1272","Human","NCBI GEO/SRA","Cell line","Leiomyosarcoma","SK-LMS-1_HDAC4KO"
"Sample_02_1273","Human","NCBI GEO/SRA","Cell line","Cervix","HeLa"
"Sample_02_1274","Human","NCBI GEO/SRA","Cell line","Prostate","PC3_DMSO"
"Sample_02_1275","Human","NCBI GEO/SRA","Cell line","Prostate","PC3_Vorinostat"
"Sample_02_1276","Human","NCBI GEO/SRA","Cell line","Prostate","PC3_GSK126"
"Sample_02_1277","Human","NCBI GEO/SRA","Cell line","Prostate","PC3_COMBO"
"Sample_02_1278","Human","NCBI GEO/SRA","Cell line","Chordoma","UCH1_DMSO_48h"
"Sample_02_1279","Human","NCBI GEO/SRA","Stem cell","Bone","Mesenchymal stem cells"
"Sample_02_1280","Human","NCBI GEO/SRA","Stem cell","Bone","Mesenchymal stem cells_SPC_mutation_ EF1"
"Sample_02_1281","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1048_p8-15"
"Sample_02_1282","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1092_p8-15"
"Sample_02_1283","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H2107_p8-15"
"Sample_02_1284","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H211_p8-15"
"Sample_02_1285","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H2171_p8-15"
"Sample_02_1286","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H378_p8-15"
"Sample_02_1287","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H510_p8-15"
"Sample_02_1288","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H524_p8-15"
"Sample_02_1289","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H526_p8-15"
"Sample_02_1290","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H69_p8-15"
"Sample_02_1291","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H889_p8-15"
"Sample_02_1292","Human","NCBI GEO/SRA","Cell line","Lung","JHU-LX110-SCLC PDX"
"Sample_02_1293","Human","NCBI GEO/SRA","Cell line","Lung","JHU-LX22-SCLC PDX"
"Sample_02_1294","Human","NCBI GEO/SRA","Cell line","Lung","JHU-LX44-SCLC PDX"
"Sample_02_1295","Human","NCBI GEO/SRA","Cell line","Lung","JHU-LX48-SCLC PDX"
"Sample_02_1296","Human","NCBI GEO/SRA","Tissue","Perigastric lymph node","Perigastric lymph node"
"Sample_02_1297","Human","NCBI GEO/SRA","Tissue","Lung","lung"
"Sample_02_1298","Human","NCBI GEO/SRA","Tissue","Hilar lymph node","Hilar lymph node"
"Sample_02_1299","Human","NCBI GEO/SRA","Tissue","Liver","liver"
"Sample_02_1300","Human","NCBI GEO/SRA","Cell line","Blood","KARPAS-45"
"Sample_02_1301","Human","NCBI GEO/SRA","Cell line","Blood","PER-117"
"Sample_02_1302","Human","NCBI GEO/SRA","Cell line","Lymphoma","RL DMSO"
"Sample_02_1303","Human","NCBI GEO/SRA","Cell line","Lymphoma","RL_tazemetostat"
"Sample_02_1304","Human","NCBI GEO/SRA","Cell line","Lymphoma","RL_lenalidomide_tazemetostat"
"Sample_02_1305","Human","NCBI GEO/SRA","Tissue","Pancreas","Gemcitabine resistant L3.6pl"
"Sample_02_1306","Human","NCBI GEO/SRA","Cell line","Skin","Toledo_CARM1i"
"Sample_02_1307","Human","NCBI GEO/SRA","Stem cell","Brain","Glioblastoma patient derived cancer stem cell"
"Sample_02_1308","Human","NCBI GEO/SRA","Primary cell","Artery","Pulmonary artery endothelial cells_caMEK5"
"Sample_02_1309","Human","NCBI GEO/SRA","Primary cell","Artery","Pulmonary artery endothelial cells_Control"
"Sample_02_1310","Human","NCBI GEO/SRA","Stem cell","Bone marrow","ASMSCs"
"Sample_02_1311","Human","NCBI GEO/SRA","Stem cell","Bone marrow","HDMSCs"
"Sample_02_1312","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_WT"
"Sample_02_1313","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_CD33_SNP"
"Sample_02_1314","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_TREM2-KO"
"Sample_02_1315","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_INPP5D SNP"
"Sample_02_1316","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_TREM2-R47H"
"Sample_02_1317","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_SORL1-KO"
"Sample_02_1318","Human","NCBI GEO/SRA","Primary cell","Brain","hMGLs_SORL1-A528T"
"Sample_02_1319","Human","NCBI GEO/SRA","Cell line","Connective Tissue","HT1080_DDIT3"
"Sample_02_1320","Human","NCBI GEO/SRA","Cell line","Connective Tissue","HT1080_EWS-FLI1"
"Sample_02_1321","Human","NCBI GEO/SRA","Cell line","Connective Tissue","HT1080_FUS-DDIT3"
"Sample_02_1322","Human","NCBI GEO/SRA","Cell line","Connective Tissue","HT1080_WT"
"Sample_02_1323","Human","NCBI GEO/SRA","Cell line","Colon","DLD1_WT"
"Sample_02_1324","Human","NCBI GEO/SRA","Stem cell","Hindbrain","Hindbrain derived neural stem cells_NS19_H3.3K27M"
"Sample_02_1325","Human","NCBI GEO/SRA","Stem cell","Hindbrain","Hindbrain derived neural stem cells_NS19_H3.3K27M_WT"
"Sample_02_1326","Human","NCBI GEO/SRA","Stem cell","Hindbrain","Hindbrain derived neural stem cells_NS13_H3.3K27M"
"Sample_02_1327","Human","NCBI GEO/SRA","Stem cell","Hindbrain","Hindbrain derived neural stem cells_NS13_H3.3K27M_WT"
"Sample_02_1328","Human","NCBI GEO/SRA","Primary cell","Non-mineralized aortic valves","aortic valve interstitial cells"
"Sample_02_1329","Human","NCBI GEO/SRA","Primary cell","Blood","CD34+ cell_9d_differentiation"
"Sample_02_1330","Human","NCBI GEO/SRA","Cell line","Blood","AMU-AML1"
"Sample_02_1331","Human","NCBI GEO/SRA","Cell line","Blood","Molm13_CTRL"
"Sample_02_1332","Human","NCBI GEO/SRA","Cell line","Blood","Monomac6_CTRL"
"Sample_02_1333","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1299_wtSMARCA4"
"Sample_02_1334","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1299_mutSMARCA4"
"Sample_02_1335","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1299_wtSMARCA4_Dox"
"Sample_02_1336","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1299_mutSMARCA4_Dox"
"Sample_02_1337","Human","NCBI GEO/SRA","Cell line","Lung","NCI-H1299-wtSMARCA4_Dox_SAHA"
"Sample_02_1338","Human","NCBI GEO/SRA","Cell line","Esophagus","KYSE180"
"Sample_02_1339","Human","NCBI GEO/SRA","Tissue","Bone marrow","ficolled whole bone marrow"
"Sample_02_1340","Human","NCBI GEO/SRA","Cell line","Blood","acute myeloid leukemia"
"Sample_02_1341","Human","NCBI GEO/SRA","Cell line","Blood","MV411"
"Sample_02_1342","Human","NCBI GEO/SRA","Cell line","Blood","NB4"
"Sample_02_1343","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p195"
"Sample_02_1344","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p217"
"Sample_02_1345","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p358"
"Sample_02_1346","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p400"
"Sample_02_1347","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p401"
"Sample_02_1348","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p408"
"Sample_02_1349","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p411"
"Sample_02_1350","Human","NCBI GEO/SRA","Tissue","Leukophereses","leukophereses_p456"
"Sample_02_1351","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231-Erbeta_vehicle"
"Sample_02_1352","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231-Erbeta_E2"
"Sample_02_1353","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231-Erbeta_TNFa"
"Sample_02_1354","Human","NCBI GEO/SRA","Cell line","Mammary gland","MDA-MB-231-Erbeta_E2_TNFa"
"Sample_02_1355","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical cord-derived mesenchymal stem cells_old"
"Sample_02_1356","Human","NCBI GEO/SRA","Stem cell","Umbilical cord","umbilical cord-derived mesenchymal stem cells_Young"
"Sample_02_1357","Human","NCBI GEO/SRA","Cell line","Other","IC8-deltaEGF-L1596H_GSI_0h"
"Sample_02_1358","Human","NCBI GEO/SRA","Cell line","Other","IC8-deltaEGF-L1596H_GSI_2h"
"Sample_02_1359","Human","NCBI GEO/SRA","Cell line","Other","IC8-deltaEGF-L1596H_GSI_4h"
"Sample_02_1360","Human","NCBI GEO/SRA","Cell line","Bladder","UMUC1_sonic_pSIN-puro_EV"
"Sample_02_1361","Human","NCBI GEO/SRA","Cell line","Bladder","UMUC1_sonic_pSIN-puro_WTUTX"
"Sample_02_1362","Human","NCBI GEO/SRA","Cell line","Bladder","UMUC1_sonic_pSIN-puro H1146A/E1148A-mutant UTX"
"Sample_02_1363","Human","NCBI GEO/SRA","Cell line","Blood","Hudep2"
"Sample_02_1364","Human","NCBI GEO/SRA","Tissue","Pancreas","pancreatic tumor_associated fibroblasts_triptolide_18h"
"Sample_02_1365","Human","NCBI GEO/SRA","Cell line","Pancreas","AsPC1-untreated"
"Sample_02_1366","Human","NCBI GEO/SRA","Cell line","Pancreas","BxPC3-untreated"
"Sample_02_1367","Human","NCBI GEO/SRA","Cell line","Pancreas","Capan1-untreated"
"Sample_02_1368","Human","NCBI GEO/SRA","Cell line","Pancreas","MIA PaCa-2-untreated"
"Sample_02_1369","Human","NCBI GEO/SRA","Cell line","Pancreas","P4057-untreated"
"Sample_02_1370","Human","NCBI GEO/SRA","Cell line","Pancreas","Patu8902-untreated"
"Sample_02_1371","Human","NCBI GEO/SRA","Cell line","Pancreas","Patu899S-untreated"
"Sample_02_1372","Human","NCBI GEO/SRA","Cell line","Pancreas","PSN1-untreated"
"Sample_02_1373","Human","NCBI GEO/SRA","Cell line","Pancreas","PANC1-untreated"
"Sample_02_1374","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_B009B_untreated"
"Sample_02_1375","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_B0010A_untreated"
"Sample_02_1376","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_B011C_untreated"
"Sample_02_1377","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_BF1_untreated"
"Sample_02_1378","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_CAF08_untreated"
"Sample_02_1379","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_PS1_untreated"
"Sample_02_1380","Human","NCBI GEO/SRA","Tissue","Pancreas","Pancreatic_tumor_associated_fibroblasts_CW1_untreated"
"Sample_02_1381","Human","NCBI GEO/SRA","Cell line","Pancreas","Pancreatic cancer cells_DMSO"
"Sample_02_1382","Human","NCBI GEO/SRA","Cell line","Pancreas","Pancreatic cancer cells_Triptolide"
"Sample_02_1383","Human","NCBI GEO/SRA","Cell line","Pancreas","Pancreatic cancer cells_THZ1"
"Sample_02_1384","Human","NCBI GEO/SRA","Induced pluripotent stem cell","Other","induced pluripotent stem cell derived Neuronal progenitor cell"
"Sample_02_1385","Human","NCBI GEO/SRA","Induced pluripotent stem cell","Other","iPSCs"
"Sample_02_1386","Human","NCBI GEO/SRA","Cell line","Peripheral blood","Karpas-299_ALK+"
"Sample_02_1387","Human","NCBI GEO/SRA","Cell line","Peripheral blood","Mac-1_ALK-"
"Sample_02_1388","Human","NCBI GEO/SRA","Cell line","Peripheral blood","JB6_ALK+"
"Sample_02_1389","Human","NCBI GEO/SRA","Cell line","Peripheral blood","SUP-M2_ALK+"
"Sample_02_1390","Human","NCBI GEO/SRA","Cell line","Peripheral blood","SU-DHL-1_ALK+"
"Sample_02_1391","Human","NCBI GEO/SRA","Cell line","Peripheral blood","FE-PD_ALK-"
"Sample_02_1392","Human","NCBI GEO/SRA","Cell line","Peripheral blood","Mac-2A_ALK-"
"Sample_02_1393","Human","NCBI GEO/SRA","Primary cell","Lymph node","anaplastic large cell lymphoma cells_ALK+#54"
"Sample_02_1394","Human","NCBI GEO/SRA","Primary cell","Lymph node","anaplastic large cell lymphoma cells_ALK+#208"
"Sample_02_1395","Human","NCBI GEO/SRA","Primary cell","Colon","COLO320-DM_DMSO"
"Sample_02_1396","Human","NCBI GEO/SRA","Primary cell","Colon","COLO320HSR_DMSO"
"Sample_02_1397","Human","NCBI GEO/SRA","Primary cell","Stomach","SNU16"
"Sample_02_1398","Human","NCBI GEO/SRA","Cell line","Bone","U2OS_siNC"
"Sample_02_1399","Human","NCBI GEO/SRA","Cell line","Bone","U2OS_siMLL3.1"
"Sample_02_1400","Human","NCBI GEO/SRA","Cell line","Blood","MM1.S_DMSO_6h"
"Sample_02_1401","Human","NCBI GEO/SRA","Cell line","Blood","MM1.S_A-485"
"Sample_02_1402","Human","NCBI GEO/SRA","Cell line","Blood","MM.1S_GNE-781"
"Sample_02_1403","Human","NCBI GEO/SRA","Cell line","Blood","MM.1S_A-485/GNE-781"
"Sample_02_1404","Human","NCBI GEO/SRA","Primary cell","Embryonic kidney","HEK293_siBAHD1_WT"
"Sample_02_1405","Human","NCBI GEO/SRA","Primary cell","Embryonic kidney","HEK293_siBAHD1_W667G_mutant"
"Sample_02_1406","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_EtOH_vehicle_4h"
"Sample_02_1407","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_R1881 4h"
"Sample_02_1408","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_EtOH_vehicle_4h_MED19_OE"
"Sample_02_1409","Human","NCBI GEO/SRA","Cell line","Prostate","LNCaP_R1881 4h_MED19_OE"
"Sample_02_1410","Human","NCBI GEO/SRA","Stem cell","Brain","GSC6"
"Sample_02_1411","Human","NCBI GEO/SRA","Cell line","Colon","KM12C"
"Sample_02_1412","Human","NCBI GEO/SRA","Cell line","Liver","KM12SM"
"Sample_02_1413","Human","NCBI GEO/SRA","Cell line","Muscle","RH4_sgBRG1"
"Sample_02_1414","Human","NCBI GEO/SRA","Cell line","Brain","IMR32"
"Sample_02_1415","Human","NCBI GEO/SRA","Cell line","Brain","DIPGIV"
"Sample_02_1416","Human","NCBI GEO/SRA","Cell line","Brain","SF9402"
"Sample_02_1417","Human","NCBI GEO/SRA","Cell line","Brain","SF7761"
"Sample_02_1418","Human","NCBI GEO/SRA","Cell line","Brain","SF9427"
"Sample_02_1419","Human","NCBI GEO/SRA","Stem cell","Brain","hNSC"
"Sample_02_1420","Human","NCBI GEO/SRA","Cell line","Brain","DIPG007"
"Sample_02_1421","Human","NCBI GEO/SRA","Cell line","Brain","NHA"
"Sample_02_1422","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue bone marrow","K562_Triptolide_0h"
"Sample_02_1423","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue bone marrow","K562_Triptolide_1h"
"Sample_02_1424","Human","NCBI GEO/SRA","Cell line","Haematopoietic and lymphoid tissue bone marrow","K562_Triptolide_4h"
"Sample_02_1425","Human","NCBI GEO/SRA","Tissue","Shoulder","fibroblast_384"
"Sample_02_1426","Human","NCBI GEO/SRA","Tissue","Shoulder","fibroblast_341"
"Sample_02_1427","Human","NCBI GEO/SRA","Tissue","Shoulder","fibroblast_343"
"Sample_02_1428","Human","NCBI GEO/SRA","Tissue","Shoulder","fibroblast_316"
"Sample_02_1429","Human","NCBI GEO/SRA","Cell line","Blood","GM12878_WT"
"Sample_02_1430","Human","NCBI GEO/SRA","Cell line","Blood","Kasumi-3_mock-infected"
"Sample_02_1431","Human","NCBI GEO/SRA","Primary cell","Blood","T cell"
"Sample_02_1432","Human","NCBI GEO/SRA","Cell line","Bone","A673 STAG2 WT"
"Sample_02_1433","Human","NCBI GEO/SRA","Cell line","Bone","A673 STAG2 null"
"Sample_02_1434","Human","NCBI GEO/SRA","Stem cell","Trophoblast","trophoblast stem cells"
"Sample_02_1435","Human","NCBI GEO/SRA","Stem cell","Trophoblast","trophoblast stem cells_MSX2_KD"
"Sample_02_1436","Human","NCBI GEO/SRA","Primary cell","Liver","LSEC-Ctrl"
"Sample_02_1437","Human","NCBI GEO/SRA","Primary cell","Liver","LSEC-TNF"
"Sample_02_1438","Human","NCBI GEO/SRA","Primary cell","Liver","LSEC"
"Sample_02_1439","Human","NCBI GEO/SRA","Induced pluripotent stem cell","iPSCs","WTC11 iPSCs"
"Sample_02_1440","Human","NCBI GEO/SRA","Primary cell","Cytotrophoblast","Cytotrophoblast"
"Sample_02_1441","Human","NCBI GEO/SRA","Primary cell","Peripheral blood","peripheral blood monocyte-derived SC cells"
"Sample_02_1442","Human","NCBI GEO/SRA","Cell line","Lung","H69"
"Sample_02_1443","Human","NCBI GEO/SRA","Cell line","Lung","H69M"
"Sample_02_1444","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_Empty Vector"
"Sample_02_1445","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_TAZ4SA"
"Sample_02_1446","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_TAZ_CAMTA1"
"Sample_02_1447","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_CAMTA1"
"Sample_02_1448","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_YAP5SA"
"Sample_02_1449","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_YAP_TFE3"
"Sample_02_1450","Human","NCBI GEO/SRA","Cell line","Adipose","SW872_TFE3"
"Sample_02_1451","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH1_sictrl"
"Sample_02_1452","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH2_sictrl"
"Sample_02_1453","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH8_sictrl"
"Sample_02_1454","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH1_sialdh1a3"
"Sample_02_1455","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH2_sialdh1a3"
"Sample_02_1456","Human","NCBI GEO/SRA","Primary cell","Arter","pulmonary arterial smooth muscle cells_PAH8_sialdh1a3"
